TRANSACTIONID,TRANSACTIONTYPE,TRANSACTIONDATE,TRANSACTIONTIME,AMOUNT,DESCRIPTION,BANKBRANCH,VIA,ACCOUNTNO,ACCOUNTSTATE,BALANCE,BENACCOUNTNO,BENACCOUNTSTATE,DESTINATIONPREVIOUSBALANCE,DESTINATIONNEWBALANCE,SOURCEPREVIOUSBALANCE,SOURCENEWBALANCE,SOURCEPHONENUMBER,DESTINATIONPHONENUMBER,FLAG
T000017,Deposit,2025-11-02,06:58:00,1372,Generated transaction,BR004,Online,ACC1008724,active,0,ACC1009837,active,1971,3343,1146,0,2627677155,9526836552,Smurfing
T000018,Deposit,2025-11-03,00:25:00,4562,Generated transaction,BR014,Online,ACC1007454,active,34804,ACC1004673,active,1993,6555,194,34804,3328710672,8507497883,Abnormal-Balance
T000019,Withdrawal,2025-11-06,19:00:00,4129,Generated transaction,BR006,Online,ACC1000231,active,0,ACC1006518,active,2175,6304,53,0,9884231465,9881824272,Smurfing
T000020,Deposit,2025-11-02,16:13:00,2026,Generated transaction,BR043,Branch,ACC1006615,active,2740,ACC1001964,active,162,0,4766,2740,2119980130,2349409434,
T000021,Withdrawal,2025-11-04,12:36:00,3755,Generated transaction,BR037,Online,ACC1006717,active,0,ACC1006107,active,297,4052,449,0,9904586976,2139027119,Smurfing
T000022,Withdrawal,2025-11-02,16:45:00,2344,Generated transaction,BR042,Branch,ACC1006444,active,-143,ACC1009675,active,2225,0,2201,-143,9623534576,3849232839,Circular
T000023,Withdrawal,2025-11-01,12:40:00,4542,Generated transaction,BR022,Online,ACC1004333,active,5518,ACC1001891,active,1154,0,976,5518,8958199946,7465682673,
T000024,Deposit,2025-11-02,20:34:00,2276,Generated transaction,BR017,Online,ACC1000832,active,29305,ACC1001512,active,1366,0,181,29305,8478529823,1041531046,Abnormal-Balance
T000025,Transfer,2025-10-31,20:32:00,3034,Generated transaction,BR020,ATM,ACC1002442,active,0,ACC1008938,active,606,3640,395,0,4696689457,9155819200,
T000026,Withdrawal,2025-11-02,09:21:00,4596,Generated transaction,BR010,Online,ACC1004088,active,0,ACC1001684,active,1664,0,2997,0,4713453204,4482238042,
T000027,Withdrawal,2025-11-04,16:35:00,3382,Generated transaction,BR007,ATM,ACC1000406,active,0,ACC1002938,active,1016,4398,2821,0,4745927824,8982597239,
T000028,Withdrawal,2025-11-02,12:44:00,2510,Generated transaction,BR013,ATM,ACC6802190,active,-2233,ACC1007541,active,932,3442,277,-2233,6704841644,4712367625,High-Risk
T000029,Deposit,2025-11-03,04:13:00,4402,Generated transaction,BR012,Branch,ACC1005753,active,7776,ACC1008346,active,113,4515,3374,7776,2140169349,7161404428,
T000030,Transfer,2025-11-01,00:49:00,957,Generated transaction,BR046,ATM,ACC1009652,active,471,ACC1003533,active,2361,3318,1428,471,9597198563,3880327491,Smurfing
T000031,Deposit,2025-11-05,18:04:00,2581,Generated transaction,BR033,ATM,ACC1002441,active,3014,ACC1000750,active,510,0,433,3014,8159250505,6695912196,Circular
T000032,Transfer,2025-11-03,08:44:00,3454,Generated transaction,BR040,Branch,ACC6802190,active,-3075,ACC1002085,active,1552,0,379,-3075,6587537178,5296710795,High-Risk
T000033,Withdrawal,2025-11-02,08:45:00,4979,Generated transaction,BR014,Branch,ACC1006563,active,0,ACC1005241,active,1904,6883,79,0,5659161352,2439622619,Smurfing
T000034,Deposit,2025-11-02,16:08:00,1217,Generated transaction,BR050,Online,ACC1005085,active,16941,ACC1003680,active,1002,0,6,16941,7250964836,3472487690,Abnormal-Balance
T000035,Transfer,2025-11-04,08:51:00,1218,Generated transaction,BR050,ATM,ACC1008099,active,880,ACC1006547,active,22,0,2098,880,1939915527,2995226582,
T000036,Withdrawal,2025-11-02,13:53:00,1102,Generated transaction,BR039,ATM,ACC1009086,active,512,ACC1004650,active,2734,1632,1614,512,9123612497,7462972995,Circular
T000037,Deposit,2025-11-06,20:37:00,3696,Generated transaction,BR050,Branch,ACC1006868,active,5648,ACC1000860,active,1012,0,1952,5648,6322520473,2889238423,Circular
T000038,Transfer,2025-11-03,06:01:00,2629,Generated transaction,BR025,Branch,ACC1003841,active,222,ACC1004451,active,330,2959,2851,222,1918920620,7076811348,
T000039,Withdrawal,2025-11-03,18:21:00,520,Generated transaction,BR045,Online,ACC1008890,active,4026,ACC1007633,active,1720,2240,3506,4026,6928691380,6805759868,
T000040,Deposit,2025-11-02,10:47:00,4951,Generated transaction,BR032,Online,ACC1008928,active,0,ACC1007054,active,1999,6950,1074,0,6965096268,8722962486,Smurfing
T000041,Transfer,2025-11-02,03:27:00,230,Generated transaction,BR006,Branch,ACC1005451,active,2660,ACC1009223,active,2424,2194,2890,2660,2840877826,9018065507,Circular
T000042,Deposit,2025-11-05,17:43:00,2691,Generated transaction,BR018,ATM,ACC1000010,active,0,ACC1003356,active,1338,4029,998,0,5646751885,9673185158,Smurfing
T000043,Transfer,2025-10-31,18:37:00,572,Generated transaction,BR016,Online,ACC1000214,active,204,ACC1006393,active,2669,3241,776,204,4604460472,3668616333,Smurfing
T000044,Deposit,2025-11-01,20:30:00,4630,Generated transaction,BR011,Branch,ACC1004141,active,7005,ACC1000638,active,1904,0,2375,7005,4518871744,9438411468,Circular
T000045,Withdrawal,2025-11-03,03:49:00,4726,Generated transaction,BR013,Online,ACC1003535,active,-4279,ACC1005105,active,1537,6263,447,-4279,2043030161,4459716271,Circular
T000046,Deposit,2025-11-06,10:32:00,3519,Generated transaction,BR001,ATM,ACC1000672,active,945,ACC1005688,active,282,0,4464,945,8826851692,5748253283,
T000047,Withdrawal,2025-11-04,02:54:00,1452,Generated transaction,BR050,ATM,ACC1007532,active,2215,ACC1002506,active,2664,4116,3667,2215,7291584955,7839626408,
T000048,Withdrawal,2025-11-03,16:00:00,3702,Generated transaction,BR025,ATM,ACC1004022,active,6086,ACC1001419,active,1903,0,2384,6086,5418232833,8949781901,
T000049,Deposit,2025-11-02,01:39:00,2126,Generated transaction,BR036,Online,ACC1007988,active,5132,ACC1003475,active,2441,315,3006,5132,1820581106,7040562787,
T000050,Deposit,2025-11-06,07:36:00,3681,Generated transaction,BR045,Online,ACC1003937,active,439,ACC1007800,active,381,4062,4120,439,7792729530,7575259637,
T000051,Withdrawal,2025-11-05,15:51:00,3727,Generated transaction,BR013,ATM,ACC1005567,active,-902,ACC1004158,active,1029,4756,2825,-902,1795212538,7374584386,Circular
T000052,Transfer,2025-11-05,02:42:00,833,Generated transaction,BR020,Online,ACC1009989,active,1660,ACC1007723,active,1213,2046,2493,1660,5838636972,9824122054,Circular
T000053,Deposit,2025-11-03,07:46:00,110,Generated transaction,BR012,Online,ACC1002068,active,830,ACC1008042,active,1922,2032,940,830,8996039244,5575615203,
T000054,Transfer,2025-11-04,12:14:00,1252,Generated transaction,BR016,Online,ACC1001660,active,0,ACC1003602,active,2305,1053,292,0,3656086594,6928678489,Smurfing
T000055,Withdrawal,2025-10-31,22:14:00,2511,Generated transaction,BR007,Online,ACC1008800,active,0,ACC1001651,active,246,0,1325,0,3686566602,1348697524,Smurfing
T000056,Deposit,2025-11-05,21:49:00,1292,Generated transaction,BR019,Online,ACC1001980,active,3465,ACC1009554,active,1845,553,2173,3465,6289150149,8331319481,Circular
T000057,Withdrawal,2025-11-06,19:47:00,4841,Generated transaction,BR015,Branch,ACC1004987,active,-2599,ACC1002493,active,810,5651,2242,-2599,1610900200,1256143439,Circular
T000058,Deposit,2025-11-03,11:59:00,3607,Generated transaction,BR018,Branch,ACC1009749,active,21627,ACC1009325,active,2820,6427,173,21627,7614170462,2880160025,Abnormal-Balance
T000059,Withdrawal,2025-11-06,19:18:00,4955,Generated transaction,BR037,Branch,ACC6802190,active,-4370,ACC1007078,active,374,5329,585,-4370,5083595988,4248149900,High-Risk
T000060,Deposit,2025-11-05,08:28:00,1496,Generated transaction,BR006,ATM,ACC1008502,active,882,ACC1007245,active,1785,289,2378,882,6789448659,6726515966,
T000061,Withdrawal,2025-11-06,21:05:00,4068,Generated transaction,BR003,ATM,ACC1008960,active,0,ACC1003545,active,1640,0,650,0,5673181221,6379012098,Smurfing
T000062,Deposit,2025-11-02,03:43:00,4454,Generated transaction,BR040,ATM,ACC1002046,active,0,ACC1008845,active,222,4676,1498,0,7981077394,4264134512,Smurfing
T000063,Transfer,2025-11-02,07:35:00,2369,Generated transaction,BR041,Branch,ACC1004375,active,3542,ACC1008998,active,2860,5229,1173,3542,4433026356,4048494026,
T000064,Transfer,2025-11-03,12:51:00,3352,Generated transaction,BR042,Online,ACC1009024,active,7976,ACC1000224,active,464,3816,4624,7976,8372755146,6469318275,
T000065,Withdrawal,2025-11-05,11:45:00,4525,Generated transaction,BR048,Online,ACC1007736,active,8366,ACC1003993,active,780,0,3841,8366,4710967433,7077131430,
T000066,Deposit,2025-11-05,18:38:00,2455,Generated transaction,BR010,ATM,ACC5960522,active,2673,ACC1000042,active,2375,0,218,2673,7608153267,6777263354,High-Risk
T000067,Deposit,2025-11-06,06:42:00,2646,Generated transaction,BR015,ATM,ACC4659300,active,3213,ACC1006180,active,2856,5502,567,3213,5482431018,8493451569,High-Risk
T000068,Transfer,2025-11-04,08:06:00,313,Generated transaction,BR029,Online,ACC1006325,active,4470,ACC1002492,active,2417,2730,4157,4470,2962491159,4102872611,
T000069,Transfer,2025-11-01,21:07:00,2181,Generated transaction,BR022,Branch,ACC1006801,active,802,ACC1007936,active,2837,5018,2983,802,8556573246,9744120054,Circular
T000070,Withdrawal,2025-11-01,22:06:00,750,Generated transaction,BR007,ATM,ACC1006057,active,100,ACC1007651,active,403,0,850,100,1124327519,5535997538,Circular
T000071,Transfer,2025-11-04,01:53:00,2010,Generated transaction,BR011,Online,ACC1006141,active,0,ACC1007056,active,2318,308,1292,0,9929101065,9035194895,
T000072,Withdrawal,2025-11-02,17:45:00,1912,Generated transaction,BR001,ATM,ACC5960522,active,-1429,ACC1009554,active,1040,2952,483,-1429,9165632300,1678500147,High-Risk
T000073,Transfer,2025-10-31,11:01:00,3485,Generated transaction,BR025,ATM,ACC1005391,active,0,ACC1009232,active,1871,0,539,0,1458072318,8298348088,Smurfing
T000074,Withdrawal,2025-11-05,15:27:00,4646,Generated transaction,BR032,ATM,ACC1001416,active,0,ACC1007897,active,200,0,944,0,8739238825,5464285982,Smurfing
T000075,Deposit,2025-11-03,08:58:00,1086,Generated transaction,BR012,Online,ACC1005017,active,0,ACC1000123,active,1208,2294,419,0,9467483275,9218363978,Smurfing
T000076,Deposit,2025-11-01,20:55:00,2784,Generated transaction,BR049,Online,ACC1004210,active,18622,ACC1007894,active,1918,0,93,18622,9503787171,2570991899,Abnormal-Balance
T000077,Deposit,2025-11-06,03:02:00,1022,Generated transaction,BR038,ATM,ACC1000260,active,0,ACC1009414,active,2755,1733,975,0,9333490239,6299224734,Smurfing
T000078,Deposit,2025-10-31,06:50:00,527,Generated transaction,BR042,ATM,ACC1009198,active,1386,ACC1005374,active,1901,1374,1913,1386,1501119337,5454792171,
T000079,Withdrawal,2025-11-03,14:30:00,4413,Generated transaction,BR045,Branch,ACC1002619,active,0,ACC1008624,active,1858,6271,1943,0,9381721143,9730449971,Smurfing
T000080,Deposit,2025-11-04,05:10:00,1944,Generated transaction,BR035,Branch,ACC1003559,active,1798,ACC1007264,active,406,0,3742,1798,2540492440,7004964045,
T000081,Transfer,2025-11-02,03:49:00,1747,Generated transaction,BR022,Online,ACC1002001,active,0,ACC1007450,active,2445,698,850,0,5246953455,1881351238,
T000082,Withdrawal,2025-11-06,07:20:00,1918,Generated transaction,BR001,ATM,ACC1003394,active,3787,ACC1009607,active,604,0,1869,3787,1749459431,1110724913,
T000083,Withdrawal,2025-10-31,04:03:00,2662,Generated transaction,BR027,Branch,ACC1005869,active,7585,ACC1003898,active,1086,3748,4923,7585,5567946981,3549776132,
T000084,Transfer,2025-11-05,03:25:00,4281,Generated transaction,BR031,ATM,ACC6802190,active,-3500,ACC1003629,active,2635,0,781,-3500,5758659815,2905085701,High-Risk
T000085,Withdrawal,2025-10-31,22:03:00,548,Generated transaction,BR046,ATM,ACC1005277,active,1863,ACC1009966,active,2557,2009,1315,1863,6561543484,2847692041,
T000086,Deposit,2025-11-01,07:14:00,3709,Generated transaction,BR026,ATM,ACC1009033,active,0,ACC1003522,active,1694,5403,3623,0,4133661881,6637352245,
T000087,Transfer,2025-11-03,13:20:00,3895,Generated transaction,BR048,Branch,ACC1004176,active,5245,ACC1006132,active,349,4244,1350,5245,9847550931,7707379050,
T000088,Transfer,2025-11-05,14:49:00,431,Generated transaction,BR037,Branch,ACC1001673,active,2252,ACC1003326,active,2459,2890,2683,2252,1913706213,8115628227,Circular
T000089,Deposit,2025-11-06,08:50:00,3021,Generated transaction,BR036,Branch,ACC1007936,active,5714,ACC1003995,active,1141,0,2693,5714,9702693937,2148679234,Circular
T000090,Deposit,2025-11-04,05:25:00,2885,Generated transaction,BR005,Online,ACC1000532,active,0,ACC1006170,active,586,0,968,0,5173893550,9984030846,Smurfing
T000091,Deposit,2025-11-06,00:51:00,3726,Generated transaction,BR050,Branch,ACC1003524,active,7265,ACC1006163,active,1515,5241,3539,7265,3560761628,4793925798,
T000092,Deposit,2025-11-06,00:12:00,2239,Generated transaction,BR027,ATM,ACC1007019,active,2723,ACC1002635,active,1736,3975,484,2723,3200510647,6777473414,Circular
T000093,Withdrawal,2025-11-01,06:16:00,4326,Generated transaction,BR004,Online,ACC1004640,active,0,ACC1009717,active,186,4512,4086,0,6172957943,5060136033,
T000094,Deposit,2025-11-01,13:28:00,992,Generated transaction,BR035,Branch,ACC1004186,active,3779,ACC1004742,active,1763,2755,2787,3779,2521136431,4187043237,
T000095,Withdrawal,2025-11-04,23:07:00,2574,Generated transaction,BR027,ATM,ACC1000307,active,0,ACC1007532,active,2348,4922,737,0,5789633176,2394868732,
T000096,Deposit,2025-11-05,05:38:00,877,Generated transaction,BR026,ATM,ACC1005928,active,39031,ACC1001443,active,2412,3289,164,39031,8498174646,6246612046,Abnormal-Balance
T000097,Withdrawal,2025-11-05,12:14:00,4356,Generated transaction,BR010,Online,ACC1002959,active,-3837,ACC1002912,active,1431,5787,519,-3837,1441542090,2099375147,Circular
T000098,Withdrawal,2025-11-01,23:22:00,1461,Generated transaction,BR049,Branch,ACC1009869,active,0,ACC1002504,active,2572,4033,717,0,7977267911,7988845536,
T000099,Deposit,2025-11-01,17:13:00,3632,Generated transaction,BR033,Online,ACC1007205,active,309,ACC1001118,active,1125,0,3941,309,6628158856,2940955281,
T000100,Withdrawal,2025-10-31,15:32:00,749,Generated transaction,BR036,Branch,ACC1006041,active,0,ACC1004703,active,2076,2825,728,0,4847761430,3799620568,
T000101,Deposit,2025-11-03,15:47:00,1245,Generated transaction,BR046,Online,ACC1009912,active,2962,ACC1007792,active,1845,3090,4207,2962,1741134891,5976777081,
T000102,Deposit,2025-11-04,05:48:00,2781,Generated transaction,BR022,Online,ACC1004634,active,28392,ACC1006347,active,214,0,102,28392,2416011033,6955247915,Abnormal-Balance
T000103,Deposit,2025-11-02,20:48:00,677,Generated transaction,BR042,Branch,ACC2976147,active,1578,ACC1002463,active,579,0,901,1578,8138816152,5658832688,High-Risk
T000104,Deposit,2025-11-04,16:39:00,4322,Generated transaction,BR002,ATM,ACC1009530,active,0,ACC1005617,active,2746,7068,444,0,2326569692,5085241101,Smurfing
T000105,Transfer,2025-11-06,18:46:00,1136,Generated transaction,BR033,Branch,ACC1003869,active,1032,ACC1008608,active,1211,75,2168,1032,9752058817,2617999521,Circular
T000106,Deposit,2025-11-01,20:18:00,367,Generated transaction,BR040,ATM,ACC1002962,active,4052,ACC1002712,active,2770,2403,3685,4052,8661364201,6322188162,
T000107,Withdrawal,2025-11-05,15:08:00,3619,Generated transaction,BR034,ATM,ACC1005211,active,-1600,ACC1006394,active,1154,0,2019,-1600,5150090143,4508521152,Circular
T000108,Transfer,2025-11-06,21:06:00,3946,Generated transaction,BR034,Online,ACC1002267,dormant,3946,ACC1004096,active,2271,0,0,3946,2224336336,4277561834,Dormant-Active
T000109,Deposit,2025-11-03,02:29:00,3593,Generated transaction,BR002,ATM,ACC1007361,active,4900,ACC1008410,active,909,0,1307,4900,5523703900,7451071432,
T000110,Withdrawal,2025-11-04,05:16:00,1849,Generated transaction,BR022,Online,ACC1005457,active,-331,ACC1009162,active,405,0,1518,-331,1590985753,8858766173,Circular
T000111,Withdrawal,2025-10-31,18:38:00,659,Generated transaction,BR047,Branch,ACC1000214,active,507,ACC1009105,active,883,224,1166,507,7561728644,2237386857,Smurfing
T000112,Transfer,2025-11-03,06:16:00,3449,Generated transaction,BR032,Branch,ACC1004395,active,0,ACC1008980,active,2551,6000,482,0,3302333490,3469810046,Smurfing
T000113,Withdrawal,2025-11-01,15:12:00,2900,Generated transaction,BR006,Branch,ACC1004772,active,3012,ACC1007032,active,1706,4606,112,3012,9481076448,3380064537,
T000114,Transfer,2025-11-03,20:51:00,3068,Generated transaction,BR023,Online,ACC1000196,active,0,ACC1007413,active,66,3134,1099,0,3698343112,2428156550,Smurfing
T000115,Withdrawal,2025-11-01,22:42:00,1444,Generated transaction,BR031,Branch,ACC1002229,active,1176,ACC1009434,active,2804,4248,2620,1176,1579187439,9347720574,Circular
T000116,Withdrawal,2025-11-06,04:26:00,1644,Generated transaction,BR026,Branch,ACC1009696,active,32,ACC1003340,active,1292,0,1676,32,7328203808,3778416511,Smurfing
T000117,Transfer,2025-11-03,06:07:00,2248,Generated transaction,BR048,ATM,ACC1005848,dormant,2248,ACC1000783,active,1507,3755,0,2248,6955593943,5182110973,Dormant-Active
T000118,Deposit,2025-11-04,04:20:00,2194,Generated transaction,BR039,Online,ACC1008516,active,2688,ACC1003076,active,2978,5172,494,2688,7637761996,2379592595,Circular
T000119,Deposit,2025-11-05,23:38:00,3662,Generated transaction,BR023,ATM,ACC1007865,active,0,ACC1009018,active,1745,5407,909,0,9771848610,9581991473,Smurfing
T000120,Transfer,2025-11-03,02:58:00,2986,Generated transaction,BR010,Branch,ACC1000939,active,441,ACC1001229,active,2782,5768,3427,441,2881937953,1542153826,
T000121,Deposit,2025-11-03,21:35:00,4656,Generated transaction,BR024,ATM,ACC1002847,active,5605,ACC1006879,active,628,0,949,5605,4277422858,3464975279,Circular
T000122,Transfer,2025-11-06,00:34:00,2293,Generated transaction,BR032,Branch,ACC1006012,active,4968,ACC1006521,active,464,2757,2675,4968,3412365931,2916728422,
T000123,Withdrawal,2025-11-03,18:18:00,1014,Generated transaction,BR029,Online,ACC1007563,active,0,ACC1009054,active,303,1317,240,0,9532273208,8163317351,Smurfing
T000124,Withdrawal,2025-11-06,02:16:00,2467,Generated transaction,BR041,Online,ACC1009166,active,0,ACC1004826,active,2915,448,302,0,8703867299,3185089287,Smurfing
T000125,Deposit,2025-11-01,09:08:00,4057,Generated transaction,BR036,Online,ACC1003292,active,6096,ACC1002275,active,2269,0,2039,6096,1370292681,6623360831,
T000126,Deposit,2025-11-05,05:42:00,4719,Generated transaction,BR030,Branch,ACC1002930,active,0,ACC1005543,active,1298,0,1041,0,7517011632,3524521602,Smurfing
T000127,Deposit,2025-11-02,19:17:00,1027,Generated transaction,BR046,Online,ACC1001234,active,2496,ACC1007739,active,1245,2272,1469,2496,9138644862,4633257620,Circular
T000128,Withdrawal,2025-11-04,13:12:00,1035,Generated transaction,BR042,Online,ACC1007453,active,0,ACC1005716,active,2516,1481,85,0,3493857758,4709911999,Smurfing
T000129,Transfer,2025-11-06,21:08:00,1736,Generated transaction,BR032,Branch,ACC1008960,active,0,ACC1004273,active,1706,0,635,0,7638204740,6592451645,Smurfing
T000130,Deposit,2025-11-01,09:57:00,607,Generated transaction,BR030,Online,ACC1001229,active,980,ACC1007497,active,647,1254,373,980,5912019621,2712474804,Circular
T000131,Transfer,2025-11-04,05:10:00,2624,Generated transaction,BR010,Online,ACC2976147,active,-2124,ACC1009202,active,501,3125,500,-2124,5512315375,9355364489,High-Risk
T000132,Deposit,2025-11-04,18:10:00,4742,Generated transaction,BR033,ATM,ACC1004067,active,0,ACC1002616,active,777,0,2782,0,6620138568,1099541460,
T000133,Deposit,2025-10-31,00:57:00,1772,Generated transaction,BR039,Branch,ACC1004083,active,0,ACC1001396,active,199,1971,1399,0,8183421297,5756663747,Smurfing
T000134,Transfer,2025-11-06,12:39:00,3007,Generated transaction,BR024,Branch,ACC1002069,active,0,ACC1008875,active,209,0,968,0,2239534867,7656585531,Smurfing
T000135,Deposit,2025-11-03,14:49:00,3236,Generated transaction,BR049,Online,ACC1001447,active,0,ACC1000177,active,1388,0,862,0,7481631841,3147818256,Smurfing
T000136,Withdrawal,2025-10-31,12:22:00,3890,Generated transaction,BR009,ATM,ACC1000637,active,0,ACC1002245,active,610,0,2828,0,2368076065,8913915028,
T000137,Transfer,2025-11-06,14:50:00,4370,Generated transaction,BR024,ATM,ACC1009600,active,-3431,ACC1006995,active,2305,6675,939,-3431,3893976444,9503597301,Circular
T000138,Withdrawal,2025-11-06,15:23:00,3897,Generated transaction,BR037,Online,ACC1005040,active,8886,ACC1000436,active,2685,0,4989,8886,4098389895,7801180691,
T000139,Transfer,2025-11-03,03:45:00,1994,Generated transaction,BR029,ATM,ACC1000412,active,0,ACC1005260,active,2869,4863,999,0,2798647685,6170675398,Smurfing
T000140,Deposit,2025-11-05,06:09:00,4259,Generated transaction,BR034,ATM,ACC1005313,active,0,ACC1000785,active,1331,0,1209,0,6038780151,8272725281,Smurfing
T000141,Deposit,2025-11-06,22:35:00,2295,Generated transaction,BR050,ATM,ACC1007932,active,0,ACC1003150,active,921,0,2119,0,4027526473,7395219544,
T000142,Transfer,2025-11-05,11:01:00,2367,Generated transaction,BR023,Online,ACC1005714,dormant,2367,ACC1009183,active,2771,404,0,2367,2247484671,4067213499,Dormant-Active
T000143,Deposit,2025-11-03,22:34:00,1762,Generated transaction,BR045,ATM,ACC1007247,active,18227,ACC1004201,active,2206,3968,169,18227,1589582865,3520417815,Abnormal-Balance
T000144,Deposit,2025-11-02,18:12:00,1917,Generated transaction,BR007,Branch,ACC1000831,active,3865,ACC1008700,active,1692,3609,1948,3865,4310415016,4990452762,
T000145,Transfer,2025-11-04,15:06:00,2363,Generated transaction,BR042,Branch,ACC1007793,active,4096,ACC1007822,active,2645,5008,1733,4096,4957687327,4597485607,
T000146,Transfer,2025-10-31,09:55:00,2381,Generated transaction,BR007,ATM,ACC1006504,dormant,2381,ACC1008116,active,37,2418,0,2381,6517150278,5031086659,Dormant-Active
T000147,Deposit,2025-11-05,20:18:00,932,Generated transaction,BR046,Online,ACC1002826,active,616,ACC1001253,active,2994,3926,1548,616,9650425740,1829621429,Smurfing
T000148,Transfer,2025-10-31,07:30:00,2696,Generated transaction,BR031,ATM,ACC1002426,active,0,ACC1008650,active,2741,5437,613,0,5019339446,5324302451,Smurfing
T000149,Deposit,2025-11-06,08:22:00,2710,Generated transaction,BR042,ATM,ACC1003287,active,0,ACC1001705,active,2960,250,870,0,3975418439,9856756553,Smurfing
T000150,Withdrawal,2025-10-31,05:43:00,3331,Generated transaction,BR008,Branch,ACC1001006,active,0,ACC1008523,active,2881,0,726,0,6562144159,3639796200,Smurfing
T000151,Withdrawal,2025-11-03,05:51:00,3737,Generated transaction,BR036,ATM,ACC1005930,active,-1747,ACC1006309,active,2481,6218,1990,-1747,4545940090,4272162158,Circular
T000152,Transfer,2025-11-06,18:41:00,4336,Generated transaction,BR004,Branch,ACC1001341,active,0,ACC1008609,active,319,0,3759,0,3304937838,6001648993,
T000153,Transfer,2025-11-04,15:23:00,4787,Generated transaction,BR030,Online,ACC1006913,active,0,ACC1006595,active,2090,6877,586,0,7499349987,9837912162,Smurfing
T000154,Transfer,2025-11-04,02:20:00,2094,Generated transaction,BR028,ATM,ACC1002902,active,-1481,ACC1009361,active,892,0,613,-1481,4008130163,4840638976,Circular
T000155,Transfer,2025-11-05,08:54:00,1484,Generated transaction,BR027,ATM,ACC1000519,dormant,1484,ACC1004703,active,2627,1143,0,1484,6937704752,9189503254,Dormant-Active
T000156,Transfer,2025-11-04,21:21:00,2858,Generated transaction,BR047,Online,ACC1007391,active,0,ACC1005262,active,2200,5058,1732,0,4585531525,4247765887,Smurfing
T000157,Deposit,2025-11-03,09:28:00,4367,Generated transaction,BR010,ATM,ACC1007585,active,7941,ACC1008920,active,940,5307,3574,7941,4287754238,8130494783,
T000158,Withdrawal,2025-11-02,14:47:00,561,Generated transaction,BR046,Online,ACC1006964,active,2153,ACC1007833,active,137,698,2714,2153,5484962610,2885330933,Circular
